,Serving,Win,Service,dir_srv,Surface,isAce,count
261,Receiving,Loss,1st,Wide,Hard,True,1
262,Serving,Win,1st,Wide,Hard,False,1
263,Serving,Win,2nd,Wide,Hard,False,1
264,Receiving,Loss,1st,Wide,Hard,False,1
265,Receiving,Win,1st,Wide,Hard,False,1
266,Serving,Loss,2nd,Down the T,Hard,False,1
267,Serving,Win,1st,Down the T,Hard,False,1
268,Receiving,Win,1st,Down the T,Hard,False,1
269,Serving,Win,2nd,Wide,Hard,False,1
270,Serving,Loss,1st,Down the T,Hard,False,1
271,Serving,Win,1st,Down the T,Hard,True,1
272,Serving,Loss,1st,Down the T,Hard,False,1
273,Serving,Win,1st,Down the T,Hard,False,1
274,Serving,Loss,2nd,Body,Hard,False,1
275,Serving,Win,1st,Wide,Hard,False,1
276,Serving,Win,2nd,Body,Hard,False,1
277,Receiving,Loss,1st,Wide,Hard,False,1
278,Receiving,Loss,2nd,Down the T,Hard,False,1
279,Receiving,Loss,2nd,Body,Hard,False,1
280,Receiving,Win,1st,Wide,Hard,False,1
281,Receiving,Win,1st,Down the T,Hard,False,1
282,Receiving,Win,2nd,Wide,Hard,False,1
283,Receiving,Loss,1st,Wide,Hard,False,1
284,Receiving,Win,1st,Down the T,Hard,False,1
285,Receiving,Loss,2nd,Wide,Hard,False,1
286,Receiving,Win,2nd,Wide,Hard,False,1
287,Receiving,Loss,1st,Wide,Hard,True,1
288,Receiving,Win,2nd,Down the T,Hard,False,1
289,Receiving,Loss,1st,Down the T,Hard,False,1
290,Receiving,Win,2nd,Wide,Hard,False,1
291,Receiving,Loss,1st,Wide,Hard,False,1
292,Receiving,Loss,1st,Down the T,Hard,False,1
293,Serving,Win,1st,Down the T,Hard,False,1
294,Serving,Win,1st,Wide,Hard,False,1
295,Serving,Win,2nd,Body,Hard,False,1
296,Serving,Win,2nd,Down the T,Hard,False,1
297,Receiving,Win,2nd,Wide,Hard,False,1
298,Receiving,Loss,1st,Wide,Hard,False,1
300,Receiving,Loss,1st,Wide,Hard,False,1
301,Receiving,Loss,1st,Wide,Hard,False,1
302,Receiving,Loss,1st,Wide,Hard,False,1
303,Serving,Win,1st,Wide,Hard,False,1
304,Serving,Win,1st,Body,Hard,False,1
305,Serving,Win,2nd,Wide,Hard,False,1
306,Serving,Win,1st,Down the T,Hard,False,1
307,Receiving,Loss,2nd,Body,Hard,False,1
308,Receiving,Win,1st,Down the T,Hard,False,1
309,Receiving,Loss,1st,Down the T,Hard,False,1
310,Receiving,Win,2nd,Wide,Hard,False,1
