,index,match_id,Pt,Set1,Set2,Gm1,Gm2,Pts,Gm#,TbSet,TB?,TBpt,Svr,Ret,Serving,1st,2nd,Notes,1stSV,2ndSV,1stIn,2ndIn,isAce,isUnret,isRallyWinner,isForced,isUnforced,isDouble,PtWinner,isSvrWinner,rallyCount,Date,Tournament,Round,Surface,Player 1,Player 2,Grand Slam,i_serve,i_win,is_second_service,dir_srv,rally_desc,rally_tratada,how_ended,serve_return
9019,126755,20201009-M-Roland_Garros-SF-Novak_Djokovic-Stefanos_Tsitsipas,169,2,0,5,4,15-15,27 (3),1,0,,1,2,ND,4f28b2b3b1f1f1w@,,,0,,1,,False,False,False,0,1,False,2,0,6,20201009,Roland Garros,SF,Clay,Novak Djokovic,Stefanos Tsitsipas,1,0,1,0,4,f28 b2 b3 b1 f1 f1,3,@,f28
9021,126757,20201009-M-Roland_Garros-SF-Novak_Djokovic-Stefanos_Tsitsipas,171,2,0,5,4,30-30,27 (5),1,0,,1,2,ND,4f28b3b3b3b3y1n@,,,0,,1,,False,False,False,0,1,False,2,0,6,20201009,Roland Garros,SF,Clay,Novak Djokovic,Stefanos Tsitsipas,1,0,1,0,4,f28 b3 b3 b3 b3 y1,3,@,f28
9024,126760,20201009-M-Roland_Garros-SF-Novak_Djokovic-Stefanos_Tsitsipas,174,2,0,5,4,AD-40,27 (8),1,0,,1,2,ND,4b27f3b3b3f3b3b3b3b3b1w@,,Time violation Djokovic,0,,1,,False,False,False,0,1,False,2,0,10,20201009,Roland Garros,SF,Clay,Novak Djokovic,Stefanos Tsitsipas,1,0,1,0,4,b27 f3 b3 b3 f3 b3 b3 b3 b3 b1,5,@,b27
9025,126761,20201009-M-Roland_Garros-SF-Novak_Djokovic-Stefanos_Tsitsipas,175,2,0,5,4,40-40,27 (9),1,0,,1,2,ND,4n,5f38s2j+3b1z1l2o2*,,0,0.0,0,1.0,False,False,True,0,0,False,2,0,8,20201009,Roland Garros,SF,Clay,Novak Djokovic,Stefanos Tsitsipas,1,0,1,1,5,f38 s2 j3 b1 z1 l2 o2,4,*,f38
9027,126763,20201009-M-Roland_Garros-SF-Novak_Djokovic-Stefanos_Tsitsipas,177,2,0,5,4,40-40,27 (11),1,0,,1,2,ND,4f28b3b3f2f1f2b2b2f3b2f3b3f1f1f-3*,,,0,,1,,False,False,True,0,0,False,2,0,16,20201009,Roland Garros,SF,Clay,Novak Djokovic,Stefanos Tsitsipas,1,0,1,0,4,f28 b3 b3 f2 f1 f2 b2 b2 f3 b2 f3 b3 f1 f1 f3,8,*,f28
9028,126764,20201009-M-Roland_Garros-SF-Novak_Djokovic-Stefanos_Tsitsipas,178,2,0,5,4,40-AD,27 (12),1,0,,1,2,ND,6f27f2d@,,,0,,1,,False,False,False,0,1,False,2,0,2,20201009,Roland Garros,SF,Clay,Novak Djokovic,Stefanos Tsitsipas,1,0,1,0,6,f27 f2,1,@,f27
9037,126773,20201009-M-Roland_Garros-SF-Novak_Djokovic-Stefanos_Tsitsipas,187,2,0,5,6,30-0,29 (3),1,0,,1,2,ND,6n,6b29f3b1r3b1*,,0,0.0,0,1.0,False,False,True,0,0,False,2,0,6,20201009,Roland Garros,SF,Clay,Novak Djokovic,Stefanos Tsitsipas,1,0,1,1,6,b29 f3 b1 r3 b1,3,*,b29
9038,126774,20201009-M-Roland_Garros-SF-Novak_Djokovic-Stefanos_Tsitsipas,188,2,0,5,6,30-15,29 (4),1,0,,1,2,ND,6x,6f38b3b2f3b2f2f3b3b3b3b1f1f+3b3w#,,0,0.0,0,1.0,False,False,False,1,0,False,2,0,14,20201009,Roland Garros,SF,Clay,Novak Djokovic,Stefanos Tsitsipas,1,0,1,1,6,f38 b3 b2 f3 b2 f2 f3 b3 b3 b3 b1 f1 f3 b3,7,#,f38
9039,126775,20201009-M-Roland_Garros-SF-Novak_Djokovic-Stefanos_Tsitsipas,189,2,0,5,6,30-30,29 (5),1,0,,1,2,ND,6n,6f28b3s3f+1n@,,0,0.0,0,1.0,False,False,False,0,1,False,2,0,4,20201009,Roland Garros,SF,Clay,Novak Djokovic,Stefanos Tsitsipas,1,0,1,1,6,f28 b3 s3 f1,2,@,f28
9041,126777,20201009-M-Roland_Garros-SF-Novak_Djokovic-Stefanos_Tsitsipas,191,2,0,5,6,40-40,29 (7),1,0,,1,2,ND,6d,6b29b2f3b3f3b3f3b3s3b3f2f2n@,,0,0.0,0,1.0,False,False,False,0,1,False,2,0,12,20201009,Roland Garros,SF,Clay,Novak Djokovic,Stefanos Tsitsipas,1,0,1,1,6,b29 b2 f3 b3 f3 b3 f3 b3 s3 b3 f2 f2,6,@,b29
9042,126778,20201009-M-Roland_Garros-SF-Novak_Djokovic-Stefanos_Tsitsipas,192,2,0,5,6,40-AD,29 (8),1,0,,1,2,ND,4d,4b38b3b2b3b3b3s3b1r1f1f3*,,0,0.0,0,1.0,False,False,True,0,0,False,2,0,12,20201009,Roland Garros,SF,Clay,Novak Djokovic,Stefanos Tsitsipas,1,0,1,1,4,b38 b3 b2 b3 b3 b3 s3 b1 r1 f1 f3,6,*,b38
9055,126791,20201009-M-Roland_Garros-SF-Novak_Djokovic-Stefanos_Tsitsipas,205,2,1,0,1,0-0,31 (1),1,0,,1,2,ND,6b27f3s3b1f3b1f3*,,,0,,1,,False,False,True,0,0,False,2,0,8,20201009,Roland Garros,SF,Clay,Novak Djokovic,Stefanos Tsitsipas,1,0,1,0,6,b27 f3 s3 b1 f3 b1 f3,4,*,b27
9057,126793,20201009-M-Roland_Garros-SF-Novak_Djokovic-Stefanos_Tsitsipas,207,2,1,0,1,0-30,31 (3),1,0,,1,2,ND,4f27b3s3f3s3y1r1*,,,0,,1,,False,False,True,0,0,False,2,0,8,20201009,Roland Garros,SF,Clay,Novak Djokovic,Stefanos Tsitsipas,1,0,1,0,4,f27 b3 s3 f3 s3 y1 r1,4,*,f27
9058,126794,20201009-M-Roland_Garros-SF-Novak_Djokovic-Stefanos_Tsitsipas,208,2,1,0,1,0-40,31 (4),1,0,,1,2,ND,4n,4b38b1x@,,0,0.0,0,1.0,False,False,False,0,1,False,2,0,2,20201009,Roland Garros,SF,Clay,Novak Djokovic,Stefanos Tsitsipas,1,0,1,1,4,b38 b1,1,@,b38
9064,126800,20201009-M-Roland_Garros-SF-Novak_Djokovic-Stefanos_Tsitsipas,214,2,1,1,2,0-0,33 (1),1,0,,1,2,ND,6s29f1f1f2n@,,,0,,1,,False,False,False,0,1,False,2,0,4,20201009,Roland Garros,SF,Clay,Novak Djokovic,Stefanos Tsitsipas,1,0,1,0,6,s29 f1 f1 f2,2,@,s29
9082,126818,20201009-M-Roland_Garros-SF-Novak_Djokovic-Stefanos_Tsitsipas,232,2,1,2,3,15-0,35 (2),1,0,,1,2,ND,6f38b3b3b1f3b3s3b+1f3*,,,0,,1,,False,False,True,0,0,False,2,0,10,20201009,Roland Garros,SF,Clay,Novak Djokovic,Stefanos Tsitsipas,1,0,1,0,6,f38 b3 b3 b1 f3 b3 s3 b1 f3,5,*,f38
9119,126855,20201009-M-Roland_Garros-SF-Novak_Djokovic-Stefanos_Tsitsipas,269,2,1,4,5,40-15,39 (5),1,0,,1,2,ND,6n,5b28f1f1f3y1*,,0,0.0,0,1.0,False,False,True,0,0,False,2,0,6,20201009,Roland Garros,SF,Clay,Novak Djokovic,Stefanos Tsitsipas,1,0,1,1,5,b28 f1 f1 f3 y1,3,*,b28
9120,126856,20201009-M-Roland_Garros-SF-Novak_Djokovic-Stefanos_Tsitsipas,270,2,1,4,5,40-30,39 (6),1,0,,1,2,ND,6f38b3b3b3n@,,,0,,1,,False,False,False,0,1,False,2,0,4,20201009,Roland Garros,SF,Clay,Novak Djokovic,Stefanos Tsitsipas,1,0,1,0,6,f38 b3 b3 b3,2,@,f38
9121,126857,20201009-M-Roland_Garros-SF-Novak_Djokovic-Stefanos_Tsitsipas,271,2,1,4,5,40-40,39 (7),1,0,,1,2,ND,6d,6f38b3f3b3w@,,0,0.0,0,1.0,False,False,False,0,1,False,2,0,4,20201009,Roland Garros,SF,Clay,Novak Djokovic,Stefanos Tsitsipas,1,0,1,1,6,f38 b3 f3 b3,2,@,f38
9122,126858,20201009-M-Roland_Garros-SF-Novak_Djokovic-Stefanos_Tsitsipas,272,2,1,4,5,40-AD,39 (8),1,0,,1,2,ND,6x,4b38b2f1f2b2b3b3y3n@,,0,0.0,0,1.0,False,False,False,0,1,False,2,0,8,20201009,Roland Garros,SF,Clay,Novak Djokovic,Stefanos Tsitsipas,1,0,1,1,4,b38 b2 f1 f2 b2 b3 b3 y3,4,@,b38
9136,126872,20201009-M-Roland_Garros-SF-Novak_Djokovic-Stefanos_Tsitsipas,286,2,2,0,1,40-0,41 (4),0,0,,1,2,ND,4n,4b38f1d@,,0,0.0,0,1.0,False,False,False,0,1,False,2,0,2,20201009,Roland Garros,SF,Clay,Novak Djokovic,Stefanos Tsitsipas,1,0,1,1,4,b38 f1,1,@,b38
9146,126882,20201009-M-Roland_Garros-SF-Novak_Djokovic-Stefanos_Tsitsipas,296,2,2,2,1,30-0,43 (3),0,0,,1,2,ND,6d,6b29f2n@,,0,0.0,0,1.0,False,False,False,0,1,False,2,0,2,20201009,Roland Garros,SF,Clay,Novak Djokovic,Stefanos Tsitsipas,1,0,1,1,6,b29 f2,1,@,b29
9147,126883,20201009-M-Roland_Garros-SF-Novak_Djokovic-Stefanos_Tsitsipas,297,2,2,2,1,30-15,43 (4),0,0,,1,2,ND,4b28f1r1f3y1u1r3*,,,0,,1,,False,False,True,0,0,False,2,0,8,20201009,Roland Garros,SF,Clay,Novak Djokovic,Stefanos Tsitsipas,1,0,1,0,4,b28 f1 r1 f3 y1 u1 r3,4,*,b28
9172,129422,20200920-M-Rome_Masters-SF-Novak_Djokovic-Casper_Ruud,1,0,0,0,0,0-0,1 (1),1,0,,1,2,ND,4f39b3b3y1f3*,,,0,,1,,False,False,True,0,0,False,2,0,6,20200920,Rome Masters,SF,Clay,Novak Djokovic,Casper Ruud,0,0,1,0,4,f39 b3 b3 y1 f3,3,*,f39
9173,129423,20200920-M-Rome_Masters-SF-Novak_Djokovic-Casper_Ruud,2,0,0,0,0,0-15,1 (2),1,0,,1,2,ND,4b28f2n@,,,0,,1,,False,False,False,0,1,False,2,0,2,20200920,Rome Masters,SF,Clay,Novak Djokovic,Casper Ruud,0,0,1,0,4,b28 f2,1,@,b28
9177,129427,20200920-M-Rome_Masters-SF-Novak_Djokovic-Casper_Ruud,6,0,0,0,0,40-30,1 (6),1,0,,1,2,ND,4b38b3b3b2f2f1f3b3s3f3b1*,,,0,,1,,False,False,True,0,0,False,2,0,12,20200920,Rome Masters,SF,Clay,Novak Djokovic,Casper Ruud,0,0,1,0,4,b38 b3 b3 b2 f2 f1 f3 b3 s3 f3 b1,6,*,b38
9184,129434,20200920-M-Rome_Masters-SF-Novak_Djokovic-Casper_Ruud,13,0,0,1,1,0-0,3 (1),1,0,,1,2,ND,6s29f1r3f3s2f1f2b3y3b1l3o3b2v3b3z1n@,,,0,,1,,False,False,False,0,1,False,2,0,16,20200920,Rome Masters,SF,Clay,Novak Djokovic,Casper Ruud,0,0,1,0,6,s29 f1 r3 f3 s2 f1 f2 b3 y3 b1 l3 o3 b2 v3 b3 z1,8,@,s29
9185,129435,20200920-M-Rome_Masters-SF-Novak_Djokovic-Casper_Ruud,14,0,0,1,1,0-15,3 (2),1,0,,1,2,ND,4b28f1n@,,,0,,1,,False,False,False,0,1,False,2,0,2,20200920,Rome Masters,SF,Clay,Novak Djokovic,Casper Ruud,0,0,1,0,4,b28 f1,1,@,b28
9188,129438,20200920-M-Rome_Masters-SF-Novak_Djokovic-Casper_Ruud,17,0,0,1,1,30-30,3 (5),1,0,,1,2,ND,4n,4f18f2f1f1f1f3s3y+1r1*,,0,0.0,0,1.0,False,False,True,0,0,False,2,0,10,20200920,Rome Masters,SF,Clay,Novak Djokovic,Casper Ruud,0,0,1,1,4,f18 f2 f1 f1 f1 f3 s3 y1 r1,5,*,f18
9189,129439,20200920-M-Rome_Masters-SF-Novak_Djokovic-Casper_Ruud,18,0,0,1,1,30-40,3 (6),1,0,,1,2,ND,6f38b3f2f1f2b3d@,,,0,,1,,False,False,False,0,1,False,2,0,6,20200920,Rome Masters,SF,Clay,Novak Djokovic,Casper Ruud,0,0,1,0,6,f38 b3 f2 f1 f2 b3,3,@,f38
9224,129474,20200920-M-Rome_Masters-SF-Novak_Djokovic-Casper_Ruud,53,0,0,3,5,0-0,9 (1),1,0,,1,2,ND,4r28f3d@,,,0,,1,,False,False,False,0,1,False,2,0,2,20200920,Rome Masters,SF,Clay,Novak Djokovic,Casper Ruud,0,0,1,0,4,r28 f3,1,@,r28
9239,129489,20200920-M-Rome_Masters-SF-Novak_Djokovic-Casper_Ruud,68,0,0,5,5,30-0,11 (3),1,0,,1,2,ND,6n,4f28b2f3b3b3f2n@,,0,0.0,0,1.0,False,False,False,0,1,False,2,0,6,20200920,Rome Masters,SF,Clay,Novak Djokovic,Casper Ruud,0,0,1,1,4,f28 b2 f3 b3 b3 f2,3,@,f28
9241,129491,20200920-M-Rome_Masters-SF-Novak_Djokovic-Casper_Ruud,70,0,0,5,5,40-15,11 (5),1,0,,1,2,ND,6d,6b29f3f3b2f3*,,0,0.0,0,1.0,False,False,True,0,0,False,2,0,6,20200920,Rome Masters,SF,Clay,Novak Djokovic,Casper Ruud,0,0,1,1,6,b29 f3 f3 b2 f3,3,*,b29
9242,129492,20200920-M-Rome_Masters-SF-Novak_Djokovic-Casper_Ruud,71,0,0,5,5,40-30,11 (6),1,0,,1,2,ND,4b38f3w@,,,0,,1,,False,False,False,0,1,False,2,0,2,20200920,Rome Masters,SF,Clay,Novak Djokovic,Casper Ruud,0,0,1,0,4,b38 f3,1,@,b38
9243,129493,20200920-M-Rome_Masters-SF-Novak_Djokovic-Casper_Ruud,72,0,0,5,5,40-40,11 (7),1,0,,1,2,ND,6b38b3f1*,,,0,,1,,False,False,True,0,0,False,2,0,4,20200920,Rome Masters,SF,Clay,Novak Djokovic,Casper Ruud,0,0,1,0,6,b38 b3 f1,2,*,b38
9245,129495,20200920-M-Rome_Masters-SF-Novak_Djokovic-Casper_Ruud,74,0,0,5,5,40-40,11 (9),1,0,,1,2,ND,6b27f+1f3*,,,0,,1,,False,False,True,0,0,False,2,0,4,20200920,Rome Masters,SF,Clay,Novak Djokovic,Casper Ruud,0,0,1,0,6,b27 f1 f3,2,*,b27
9247,129497,20200920-M-Rome_Masters-SF-Novak_Djokovic-Casper_Ruud,76,0,0,5,5,40-40,11 (11),1,0,,1,2,ND,6n,4f28f3b3f1f1f1d@,,0,0.0,0,1.0,False,False,False,0,1,False,2,0,6,20200920,Rome Masters,SF,Clay,Novak Djokovic,Casper Ruud,0,0,1,1,4,f28 f3 b3 f1 f1 f1,3,@,f28
9250,129500,20200920-M-Rome_Masters-SF-Novak_Djokovic-Casper_Ruud,79,0,0,5,5,AD-40,11 (14),1,0,,1,2,ND,6f28f1f1f1w@,,,0,,1,,False,False,False,0,1,False,2,0,4,20200920,Rome Masters,SF,Clay,Novak Djokovic,Casper Ruud,0,0,1,0,6,f28 f1 f1 f1,2,@,f28
9252,129502,20200920-M-Rome_Masters-SF-Novak_Djokovic-Casper_Ruud,81,0,0,5,5,AD-40,11 (16),1,0,,1,2,ND,4b38f1n@,,,0,,1,,False,False,False,0,1,False,2,0,2,20200920,Rome Masters,SF,Clay,Novak Djokovic,Casper Ruud,0,0,1,0,4,b38 f1,1,@,b38
9282,129532,20200920-M-Rome_Masters-SF-Novak_Djokovic-Casper_Ruud,111,1,0,1,1,15-0,15 (2),1,0,,1,2,ND,4b38f3f3*,,,0,,1,,False,False,True,0,0,False,2,0,4,20200920,Rome Masters,SF,Clay,Novak Djokovic,Casper Ruud,0,0,1,0,4,b38 f3 f3,2,*,b38
9284,129534,20200920-M-Rome_Masters-SF-Novak_Djokovic-Casper_Ruud,113,1,0,1,1,30-15,15 (4),1,0,,1,2,ND,4b28f3b2f+3b2i2n#,,,0,,1,,False,False,False,1,0,False,2,0,6,20200920,Rome Masters,SF,Clay,Novak Djokovic,Casper Ruud,0,0,1,0,4,b28 f3 b2 f3 b2 i2,3,#,b28
9285,129535,20200920-M-Rome_Masters-SF-Novak_Djokovic-Casper_Ruud,114,1,0,1,1,30-30,15 (5),1,0,,1,2,ND,6f28f3s3f3b3f1f3b2f1*,,,0,,1,,False,False,True,0,0,False,2,0,10,20200920,Rome Masters,SF,Clay,Novak Djokovic,Casper Ruud,0,0,1,0,6,f28 f3 s3 f3 b3 f1 f3 b2 f1,5,*,f28
9287,129537,20200920-M-Rome_Masters-SF-Novak_Djokovic-Casper_Ruud,116,1,0,1,1,40-40,15 (7),1,0,,1,2,ND,4n,6b+39b2z3m3o1r1j3*,Warning Djokovic,0,0.0,0,1.0,False,False,True,0,0,False,2,0,8,20200920,Rome Masters,SF,Clay,Novak Djokovic,Casper Ruud,0,0,1,1,6,b39 b2 z3 m3 o1 r1 j3,4,*,b39
9289,129539,20200920-M-Rome_Masters-SF-Novak_Djokovic-Casper_Ruud,118,1,0,1,1,40-40,15 (9),1,0,,1,2,ND,4n,6f28f1f3s2j1*,,0,0.0,0,1.0,False,False,True,0,0,False,2,0,6,20200920,Rome Masters,SF,Clay,Novak Djokovic,Casper Ruud,0,0,1,1,6,f28 f1 f3 s2 j1,3,*,f28
9291,129541,20200920-M-Rome_Masters-SF-Novak_Djokovic-Casper_Ruud,120,1,0,1,1,40-40,15 (11),1,0,,1,2,ND,4n,6b37f3b1f2d#,,0,0.0,0,1.0,False,False,False,1,0,False,2,0,4,20200920,Rome Masters,SF,Clay,Novak Djokovic,Casper Ruud,0,0,1,1,6,b37 f3 b1 f2,2,#,b37
9303,129553,20200920-M-Rome_Masters-SF-Novak_Djokovic-Casper_Ruud,132,1,0,2,2,40-15,17 (5),1,0,,1,2,ND,6d,6b28f3b3b3b3*,,0,0.0,0,1.0,False,False,True,0,0,False,2,0,6,20200920,Rome Masters,SF,Clay,Novak Djokovic,Casper Ruud,0,0,1,1,6,b28 f3 b3 b3 b3,3,*,b28
9310,129560,20200920-M-Rome_Masters-SF-Novak_Djokovic-Casper_Ruud,139,1,0,4,2,15-0,19 (2),1,0,,1,2,ND,6w,4b38y1n@,,0,0.0,0,1.0,False,False,False,0,1,False,2,0,2,20200920,Rome Masters,SF,Clay,Novak Djokovic,Casper Ruud,0,0,1,1,4,b38 y1,1,@,b38
9312,129562,20200920-M-Rome_Masters-SF-Novak_Djokovic-Casper_Ruud,141,1,0,4,2,30-15,19 (4),1,0,,1,2,ND,4b28f1f1f1f1r2f1f1f3s3w#,,,0,,1,,False,False,False,1,0,False,2,0,10,20200920,Rome Masters,SF,Clay,Novak Djokovic,Casper Ruud,0,0,1,0,4,b28 f1 f1 f1 f1 r2 f1 f1 f3 s3,5,#,b28
9337,132424,20200905-M-US_Open-R32-Novak_Djokovic-Jan_Lennard_Struff,3,0,0,0,0,15-15,1 (3),1,0,,1,2,ND,6bfbsbbffbbbbv*,,,0,,1,,False,False,True,0,0,False,2,0,14,20200905,US Open,R32,Hard,Novak Djokovic,Jan Lennard Struff,1,0,1,0,6,b f b s b b f f b b b b v,7,*,b
9339,132426,20200905-M-US_Open-R32-Novak_Djokovic-Jan_Lennard_Struff,5,0,0,0,0,30-30,1 (5),1,0,,1,2,ND,6d,5bfw@,,0,0.0,0,1.0,False,False,False,0,1,False,2,0,2,20200905,US Open,R32,Hard,Novak Djokovic,Jan Lennard Struff,1,0,1,1,5,b f,1,@,b
9342,132429,20200905-M-US_Open-R32-Novak_Djokovic-Jan_Lennard_Struff,8,0,0,0,0,AD-40,1 (8),1,0,,1,2,ND,4bbf*,,,0,,1,,False,False,True,0,0,False,2,0,4,20200905,US Open,R32,Hard,Novak Djokovic,Jan Lennard Struff,1,0,1,0,4,b b f,2,*,b
9361,132448,20200905-M-US_Open-R32-Novak_Djokovic-Jan_Lennard_Struff,27,0,0,2,2,30-0,5 (3),1,0,,1,2,ND,5ffsfw@,,,0,,1,,False,False,False,0,1,False,2,0,4,20200905,US Open,R32,Hard,Novak Djokovic,Jan Lennard Struff,1,0,1,0,5,f f s f,2,@,f
9376,132463,20200905-M-US_Open-R32-Novak_Djokovic-Jan_Lennard_Struff,42,0,0,3,3,30-0,7 (3),1,0,,1,2,ND,4n,5bfd@,,0,0.0,0,1.0,False,False,False,0,1,False,2,0,2,20200905,US Open,R32,Hard,Novak Djokovic,Jan Lennard Struff,1,0,1,1,5,b f,1,@,b
9379,132466,20200905-M-US_Open-R32-Novak_Djokovic-Jan_Lennard_Struff,45,0,0,3,3,40-30,7 (6),1,0,,1,2,ND,4bfd@,,,0,,1,,False,False,False,0,1,False,2,0,2,20200905,US Open,R32,Hard,Novak Djokovic,Jan Lennard Struff,1,0,1,0,4,b f,1,@,b
9403,132490,20200905-M-US_Open-R32-Novak_Djokovic-Jan_Lennard_Struff,69,1,0,1,0,15-0,11 (2),1,0,,1,2,ND,6fff*,,,0,,1,,False,False,True,0,0,False,2,0,4,20200905,US Open,R32,Hard,Novak Djokovic,Jan Lennard Struff,1,0,1,0,6,f f f,2,*,f
9426,132513,20200905-M-US_Open-R32-Novak_Djokovic-Jan_Lennard_Struff,92,1,0,3,2,30-0,15 (3),1,0,,1,2,ND,6n,4frd#,,0,0.0,0,1.0,False,False,False,1,0,False,2,0,2,20200905,US Open,R32,Hard,Novak Djokovic,Jan Lennard Struff,1,0,1,1,4,f r,1,#,f
9437,132524,20200905-M-US_Open-R32-Novak_Djokovic-Jan_Lennard_Struff,103,1,0,4,3,40-0,17 (4),1,0,,1,2,ND,5n,5ffbbffd@,,0,0.0,0,1.0,False,False,False,0,1,False,2,0,6,20200905,US Open,R32,Hard,Novak Djokovic,Jan Lennard Struff,1,0,1,1,5,f f b b f f,3,@,f
9446,132533,20200905-M-US_Open-R32-Novak_Djokovic-Jan_Lennard_Struff,112,2,0,0,0,15-0,19 (2),1,0,,1,2,ND,6d,5sbsbd@,,0,0.0,0,1.0,False,False,False,0,1,False,2,0,4,20200905,US Open,R32,Hard,Novak Djokovic,Jan Lennard Struff,1,0,1,1,5,s b s b,2,@,s
9447,132534,20200905-M-US_Open-R32-Novak_Djokovic-Jan_Lennard_Struff,113,2,0,0,0,15-15,19 (3),1,0,,1,2,ND,5fbsbsfffsbb*,,,0,,1,,False,False,True,0,0,False,2,0,12,20200905,US Open,R32,Hard,Novak Djokovic,Jan Lennard Struff,1,0,1,0,5,f b s b s f f f s b b,6,*,f
9449,132536,20200905-M-US_Open-R32-Novak_Djokovic-Jan_Lennard_Struff,115,2,0,0,0,30-30,19 (5),1,0,,1,2,ND,5ffn#,,,0,,1,,False,False,False,1,0,False,2,0,2,20200905,US Open,R32,Hard,Novak Djokovic,Jan Lennard Struff,1,0,1,0,5,f f,1,#,f
9451,132538,20200905-M-US_Open-R32-Novak_Djokovic-Jan_Lennard_Struff,117,2,0,0,0,40-40,19 (7),1,0,,1,2,ND,6w,5bfbfffsbffn@,,0,0.0,0,1.0,False,False,False,0,1,False,2,0,10,20200905,US Open,R32,Hard,Novak Djokovic,Jan Lennard Struff,1,0,1,1,5,b f b f f f s b f f,5,@,b
9463,132550,20200905-M-US_Open-R32-Novak_Djokovic-Jan_Lennard_Struff,129,2,0,1,1,30-0,21 (3),1,0,,1,2,ND,4fbd#,,,0,,1,,False,False,False,1,0,False,2,0,2,20200905,US Open,R32,Hard,Novak Djokovic,Jan Lennard Struff,1,0,1,0,4,f b,1,#,f
9464,132551,20200905-M-US_Open-R32-Novak_Djokovic-Jan_Lennard_Struff,130,2,0,1,1,30-15,21 (4),1,0,,1,2,ND,5d,5bffmo*,,0,0.0,0,1.0,False,False,True,0,0,False,2,0,6,20200905,US Open,R32,Hard,Novak Djokovic,Jan Lennard Struff,1,0,1,1,5,b f f m o,3,*,b
9472,132559,20200905-M-US_Open-R32-Novak_Djokovic-Jan_Lennard_Struff,138,2,0,3,1,15-0,23 (2),1,0,,1,2,ND,5bfbbrffvvvvzn@,,,0,,1,,False,False,False,0,1,False,2,0,12,20200905,US Open,R32,Hard,Novak Djokovic,Jan Lennard Struff,1,0,1,0,5,b f b b r f f v v v v z,6,@,b
9486,132573,20200905-M-US_Open-R32-Novak_Djokovic-Jan_Lennard_Struff,152,2,0,5,1,30-0,25 (3),1,0,,1,2,ND,4frd#,,,0,,1,,False,False,False,1,0,False,2,0,2,20200905,US Open,R32,Hard,Novak Djokovic,Jan Lennard Struff,1,0,1,0,4,f r,1,#,f
9488,132575,20200905-M-US_Open-R32-Novak_Djokovic-Jan_Lennard_Struff,154,2,0,5,1,30-30,25 (5),1,0,,1,2,ND,6bfffffffffbfffn@,,,0,,1,,False,False,False,0,1,False,2,0,14,20200905,US Open,R32,Hard,Novak Djokovic,Jan Lennard Struff,1,0,1,0,6,b f f f f f f f f f b f f f,7,@,b
9493,134891,20200229-M-Dubai-F-Novak_Djokovic-Stefanos_Tsitsipas,2,0,0,0,0,15-0,1 (2),1,0,,1,2,ND,6n,6f28f1f1f1f+2b3n@,,0,0.0,0,1.0,False,False,False,0,1,False,2,0,6,20200229,Dubai,F,Hard,Novak Djokovic,Stefanos Tsitsipas,0,0,1,1,6,f28 f1 f1 f1 f2 b3,3,@,f28
9495,134893,20200229-M-Dubai-F-Novak_Djokovic-Stefanos_Tsitsipas,4,0,0,0,0,30-15,1 (4),1,0,,1,2,ND,6w,4b38b3f3b3s3b3b1f1r2b+3m1o2d@,,0,0.0,0,1.0,False,False,False,0,1,False,2,0,12,20200229,Dubai,F,Hard,Novak Djokovic,Stefanos Tsitsipas,0,0,1,1,4,b38 b3 f3 b3 s3 b3 b1 f1 r2 b3 m1 o2,6,@,b38
9506,134904,20200229-M-Dubai-F-Novak_Djokovic-Stefanos_Tsitsipas,15,0,0,1,1,30-0,3 (3),1,0,,1,2,ND,6w,5f17*,,0,0.0,0,1.0,False,False,True,0,0,False,2,0,2,20200229,Dubai,F,Hard,Novak Djokovic,Stefanos Tsitsipas,0,0,1,1,5,f17,1,*,f17
9507,134905,20200229-M-Dubai-F-Novak_Djokovic-Stefanos_Tsitsipas,16,0,0,1,1,30-15,3 (4),1,0,,1,2,ND,6n,5b29f2f1f1w#,,0,0.0,0,1.0,False,False,False,1,0,False,2,0,4,20200229,Dubai,F,Hard,Novak Djokovic,Stefanos Tsitsipas,0,0,1,1,5,b29 f2 f1 f1,2,#,b29
9518,134916,20200229-M-Dubai-F-Novak_Djokovic-Stefanos_Tsitsipas,27,0,0,2,2,30-0,5 (3),1,0,,1,2,ND,6s38b1f1r1f+3m2o1*,,,0,,1,,False,False,True,0,0,False,2,0,8,20200229,Dubai,F,Hard,Novak Djokovic,Stefanos Tsitsipas,0,0,1,0,6,s38 b1 f1 r1 f3 m2 o1,4,*,s38
9519,134917,20200229-M-Dubai-F-Novak_Djokovic-Stefanos_Tsitsipas,28,0,0,2,2,30-15,5 (4),1,0,,1,2,ND,6f38f3b3b1d@,,,0,,1,,False,False,False,0,1,False,2,0,4,20200229,Dubai,F,Hard,Novak Djokovic,Stefanos Tsitsipas,0,0,1,0,6,f38 f3 b3 b1,2,@,f38
9521,134919,20200229-M-Dubai-F-Novak_Djokovic-Stefanos_Tsitsipas,30,0,0,2,2,40-30,5 (6),1,0,,1,2,ND,4d,6f38b3b3b3f1f3d@,,0,0.0,0,1.0,False,False,False,0,1,False,2,0,6,20200229,Dubai,F,Hard,Novak Djokovic,Stefanos Tsitsipas,0,0,1,1,6,f38 b3 b3 b3 f1 f3,3,@,f38
